
-------------------------------------我是分割线-----------------------------------------
(1)标题： 【资源贴】生活大爆炸1-11季，超清中英字幕 	 链接：http://tieba.baidu.com//p/5388156738 	 发帖人：tx峰峰 	 发帖时间：10-24 	 回复数量： 0
(2)标题： 【资原贴】生活大爆炸1-11季，超清中英字幕！ 	 链接：http://tieba.baidu.com//p/5385784707 	 发帖人：候幻翠 	 发帖时间：10-23 	 回复数量： 0
(3)标题： 开始追剧了，拯救剧荒的我!感觉把s1~s10重温一遍，想用这 	 链接：http://tieba.baidu.com//p/5394180439 	 发帖人：叫豌豆逗 	 发帖时间：11:11 	 回复数量： 1
(4)标题： S7E19     霸气暴走的Amy 	 链接：http://tieba.baidu.com//p/5393179502 	 发帖人：叫豌豆逗 	 发帖时间：10-27 	 回复数量： 10
(5)标题： howard和amy如果发展可以成为“闺蜜”的，哈哈哈，之前 	 链接：http://tieba.baidu.com//p/5393228309 	 发帖人：叫豌豆逗 	 发帖时间：10-27 	 回复数量： 5
(6)标题： 希望剧组能找一个干净点的手套，并且好好洗洗手。 	 链接：http://tieba.baidu.com//p/5344151674 	 发帖人：465921557 	 发帖时间：9-27 	 回复数量： 9
(7)标题： 没事就想想如何致富吧，别总在感情的世界里伤春悲秋，捏在手心的 	 链接：http://tieba.baidu.com//p/5392390102 	 发帖人：琴琴秀恩... 	 发帖时间：10-27 	 回复数量： 2
(8)标题： 一大早又开始洗洗涮涮，泡着茶具，陪孩子做作业，女人👩不易，陪 	 链接：http://tieba.baidu.com//p/5394000709?fid=1441624 	 发帖人：一生吴忧66 	 发帖时间：09:11 	 回复数量： 0
(9)标题： 看图认人， 	 链接：http://tieba.baidu.com//p/5389610798 	 发帖人：wang8202844 	 发帖时间：10-25 	 回复数量： 3
(10)标题： 这才是真正的小谢耳朵 	 链接：http://tieba.baidu.com//p/5389191314 	 发帖人：23杭州丁丁 	 发帖时间：10-25 	 回复数量： 6
(11)标题： 我发表了一篇视频贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5393437090?fid=1441624 	 发帖人：Y啦腻 	 发帖时间：10-27 	 回复数量： 1
(12)标题： 求各位吧友们帮忙提醒我下这是哪一集的剧情 	 链接：http://tieba.baidu.com//p/5390404849 	 发帖人：欲gay弥彰 	 发帖时间：10-26 	 回复数量： 3
(13)标题： 霍华德这段简直笑死~ 	 链接：http://tieba.baidu.com//p/5391281888 	 发帖人：太保龙珠 	 发帖时间：10-26 	 回复数量： 6
(14)标题： 第八季第19集。Penny真空装【有图有真相】 	 链接：http://tieba.baidu.com//p/3684509622 	 发帖人：ymdlq 	 发帖时间：2015-04 	 回复数量： 24
(15)标题： 发现第十一季的bug，谢尔顿不是开车载过佩妮去医院吗？ 	 链接：http://tieba.baidu.com//p/5391484922 	 发帖人：河马先生... 	 发帖时间：10-26 	 回复数量： 15
(16)标题： 大家有没有想到别的什么 	 链接：http://tieba.baidu.com//p/5389426911 	 发帖人：小可Moment 	 发帖时间：10-25 	 回复数量： 7
